,film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
101,3149,52.0,33.0,4.80000019,4790,804
102,2635,441.0,163.0,5.69999981,65551,0
103,4314,42.0,68.0,8.10000038,6678,0
104,1655,43.0,52.0,6.30000019,3198,478
105,3700,411.0,436.0,6.5999999,180479,42000
106,4954,20.0,4.0,7.5999999,437,450
107,3619,17.0,4.0,3.5999999,912,502
108,3653,187.0,122.0,3.5,39095,16000
109,3318,42.0,113.0,7.80000019,7630,0
110,1792,40.0,32.0,4.5,5312,939
111,2179,1106.0,268.0,8.10000038,482064,14000
112,528,291.0,129.0,4.5,22961,1000
113,1934,116.0,81.0,5.5,49486,886
114,1686,121.0,75.0,5.30000019,15427,449
115,1078,109.0,48.0,6.9000001,36108,0
116,1263,123.0,74.0,6.69999981,22250,913
117,2470,232.0,168.0,7.4000001,43205,0
118,2863,626.0,318.0,8.0,473887,10000
119,4150,7.0,26.0,7.69999981,2112,0
120,35,29.0,7.0,7.5,1314,68
121,1662,131.0,56.0,5.30000019,7319,327
122,1320,696.0,203.0,7.30000019,137891,0
123,3590,86.0,138.0,6.19999981,47297,16000
124,3856,197.0,267.0,6.0,75864,23000
125,4246,233.0,354.0,7.5999999,76094,37000
126,420,95.0,59.0,5.0,30215,0
127,2944,34.0,90.0,6.9000001,3571,429
128,3222,174.0,167.0,6.19999981,60555,0
129,4634,322.0,343.0,7.0,103737,56000
130,1673,294.0,98.0,5.9000001,77684,0
131,2998,45.0,99.0,7.0,14301,0
132,1968,354.0,138.0,5.30000019,18632,656
133,2280,251.0,62.0,5.4000001,98794,0
134,4006,174.0,256.0,7.30000019,123553,25000
135,3955,110.0,332.0,7.0999999,29440,12000
136,4799,1.0,5.0,6.5,354,34
137,3165,39.0,76.0,5.30000019,10791,464
138,600,80.0,61.0,7.0999999,15103,2000
139,2144,978.0,205.0,7.5999999,187595,0
140,1885,568.0,176.0,6.4000001,86504,0
141,3377,69.0,147.0,5.69999981,19157,0
142,1935,369.0,140.0,4.9000001,25870,2000
143,2049,30.0,17.0,7.19999981,3480,396
144,4452,289.0,313.0,6.19999981,99035,17000
145,2444,1100.0,342.0,7.19999981,154938,10000
146,1443,346.0,149.0,7.30000019,43135,0
147,3642,733.0,453.0,8.30000019,544884,30000
148,4542,185.0,180.0,7.30000019,52894,55000
149,3733,230.0,272.0,6.0999999,37495,37000
150,1226,186.0,129.0,7.30000019,27543,607
151,4144,10.0,10.0,7.9000001,53,33
152,4746,4080.0,828.0,8.10000038,644227,1364147
153,759,92.0,26.0,6.0,85903,0
154,1527,81.0,41.0,6.4000001,9566,1000
155,326,211.0,127.0,6.9000001,29935,0
156,3178,6.0,3.0,6.30000019,397,143
157,1806,1331.0,252.0,7.69999981,399651,0
158,2804,235.0,84.0,7.5,52533,10000
159,1236,140.0,107.0,6.0,5442,339
160,328,515.0,215.0,7.9000001,281842,34000
161,4721,29.0,36.0,5.0999999,4099,0
162,1541,100.0,62.0,4.5999999,10966,365
163,2008,35.0,45.0,5.5999999,5674,329
164,4223,3.0,3.0,6.80000019,64,31
